000|886|1772000|502|857|2019-01-01
001|224|448000|583|840|2019-01-02
002|819|1638000|539|810|2019-01-03
003|160|320000|588|821|2019-01-04
004|328|656000|526|875|2019-01-05
005|818|1636000|566|805|2019-01-06
006|436|872000|515|809|2019-01-07
007|581|1162000|527|881|2019-01-08
008|775|1550000|552|858|2019-01-09
009|730|1460000|598|876|2019-01-10
010|575|1150000|559|872|2019-01-11
011|401|802000|549|838|2019-01-12
012|536|1072000|500|870|2019-01-13
013|923|1846000|567|803|2019-01-14
014|443|886000|582|846|2019-01-15
015|162|324000|540|869|2019-01-16
016|768|1536000|511|858|2019-01-17
017|604|1208000|532|838|2019-01-18
018|655|1310000|535|807|2019-01-19
019|355|710000|558|819|2019-01-20
020|596|1192000|500|868|2019-01-21
021|972|1944000|536|804|2019-01-22
022|199|398000|599|893|2019-01-23
023|830|1660000|505|887|2019-01-24
024|918|1836000|516|864|2019-01-25
025|132|264000|517|863|2019-01-26
026|926|1852000|508|842|2019-01-27
027|668|1336000|508|811|2019-01-28
028|292|584000|586|870|2019-01-29
029|558|1116000|555|847|2019-01-30
030|358|716000|583|805|2019-01-31
031|372|744000|560|863|2019-02-01
032|957|1914000|500|818|2019-02-02
033|872|1744000|554|809|2019-02-03
034|892|1784000|568|896|2019-02-04
035|847|1694000|517|883|2019-02-05
036|490|980000|523|810|2019-02-06
037|357|714000|508|812|2019-02-07
038|191|382000|551|867|2019-02-08
039|593|1186000|519|808|2019-02-09
040|275|550000|561|863|2019-02-10
041|682|1364000|570|809|2019-02-11
042|108|216000|551|820|2019-02-12
043|860|1720000|560|861|2019-02-13
044|559|1118000|557|836|2019-02-14
045|708|1416000|544|843|2019-02-15
046|856|1712000|523|875|2019-02-16
047|713|1426000|527|852|2019-02-17
048|841|1682000|574|813|2019-02-18
049|606|1212000|552|878|2019-02-19
050|107|214000|509|845|2019-02-20
051|216|432000|594|855|2019-02-21
052|765|1530000|569|820|2019-02-22
053|253|506000|573|897|2019-02-23
054|196|392000|534|828|2019-02-24
055|834|1668000|548|809|2019-02-25
056|295|590000|572|866|2019-02-26
057|195|390000|574|861|2019-02-27
058|749|1498000|567|874|2019-02-28
059|610|1220000|519|886|2019-03-01
060|263|526000|519|868|2019-03-02
061|723|1446000|503|849|2019-03-03
062|681|1362000|515|860|2019-03-04
063|657|1314000|518|803|2019-03-05
064|471|942000|518|861|2019-03-06
065|250|500000|554|884|2019-03-07
066|257|514000|579|805|2019-03-08
067|295|590000|531|820|2019-03-09
068|246|492000|582|825|2019-03-10
069|284|568000|502|885|2019-03-11
070|921|1842000|524|824|2019-03-12
071|463|926000|545|848|2019-03-13
072|629|1258000|571|849|2019-03-14
073|906|1812000|594|817|2019-03-15
