000|543|3258000|578|831|2019-01-01
001|330|1980000|595|892|2019-01-02
002|602|3612000|593|861|2019-01-03
003|241|1446000|574|835|2019-01-04
004|722|4332000|544|844|2019-01-05
005|313|1878000|527|839|2019-01-06
006|778|4668000|531|888|2019-01-07
007|153|918000|518|819|2019-01-08
008|728|4368000|544|815|2019-01-09
009|481|2886000|515|821|2019-01-10
010|766|4596000|557|839|2019-01-11
011|622|3732000|564|865|2019-01-12
012|767|4602000|530|830|2019-01-13
013|410|2460000|512|865|2019-01-14
014|333|1998000|575|813|2019-01-15
015|207|1242000|564|869|2019-01-16
016|685|4110000|531|801|2019-01-17
017|377|2262000|580|802|2019-01-18
018|886|5316000|556|846|2019-01-19
019|914|5484000|582|828|2019-01-20
020|922|5532000|572|823|2019-01-21
021|517|3102000|526|880|2019-01-22
022|777|4662000|559|893|2019-01-23
023|655|3930000|573|840|2019-01-24
024|318|1908000|553|888|2019-01-25
025|690|4140000|547|835|2019-01-26
026|217|1302000|570|894|2019-01-27
027|100|600000|590|848|2019-01-28
028|647|3882000|500|894|2019-01-29
029|855|5130000|581|816|2019-01-30
030|472|2832000|545|844|2019-01-31
031|801|4806000|503|808|2019-02-01
032|248|1488000|569|883|2019-02-02
033|285|1710000|571|891|2019-02-03
034|767|4602000|578|863|2019-02-04
035|432|2592000|566|806|2019-02-05
036|570|3420000|562|873|2019-02-06
037|380|2280000|528|826|2019-02-07
038|294|1764000|517|885|2019-02-08
039|442|2652000|571|876|2019-02-09
040|305|1830000|572|806|2019-02-10
041|549|3294000|554|891|2019-02-11
042|477|2862000|595|823|2019-02-12
043|928|5568000|570|870|2019-02-13
044|642|3852000|546|865|2019-02-14
045|571|3426000|595|818|2019-02-15
046|505|3030000|563|800|2019-02-16
047|517|3102000|569|896|2019-02-17
048|415|2490000|519|817|2019-02-18
049|256|1536000|546|810|2019-02-19
050|398|2388000|523|847|2019-02-20
051|314|1884000|595|800|2019-02-21
052|803|4818000|531|873|2019-02-22
053|200|1200000|578|853|2019-02-23
054|930|5580000|591|866|2019-02-24
055|451|2706000|530|885|2019-02-25
056|803|4818000|560|810|2019-02-26
057|836|5016000|567|831|2019-02-27
058|998|5988000|552|858|2019-02-28
059|437|2622000|510|824|2019-03-01
060|806|4836000|506|890|2019-03-02
061|821|4926000|598|840|2019-03-03
062|452|2712000|533|897|2019-03-04
063|905|5430000|503|852|2019-03-05
064|450|2700000|573|802|2019-03-06
065|547|3282000|571|859|2019-03-07
066|358|2148000|579|847|2019-03-08
067|164|984000|568|882|2019-03-09
068|456|2736000|598|859|2019-03-10
069|901|5406000|553|816|2019-03-11
070|346|2076000|593|885|2019-03-12
071|459|2754000|507|804|2019-03-13
072|959|5754000|576|805|2019-03-14
073|780|4680000|563|885|2019-03-15
